Job Title,Location,Min Salary,Max Salary,Avg_Salary,Company,Date Posted,Region
Continuous Improvement Data Analyst (FTC),"Carleton, Pontefract",45104.26,45104.26,45104.26,KP Snacks,2026-02-12,Carleton
Data Analyst Trainee,UK,30000.0,50000.0,40000.0,ITOL Recruit,2026-02-03,UK
Data Analyst,"Bolton Le Sands, Carnforth",43971.36,43971.36,43971.36,Akkodis,2026-02-19,Bolton Le Sands
Business Data Analyst,"Belfast, Northern Ireland",50000.0,50000.0,50000.0,Wellington Professional Recruitment,2026-02-14,Belfast
Data Analyst,"Belfast, Northern Ireland",34665.09,34665.09,34665.09,Belfast City Council,2026-02-23,Belfast
Data Analyst Trainee - job guarantee,UK,52059.71,52059.71,52059.71,Newto Training,2026-02-19,UK
Data Analyst - No experience needed,UK,25000.0,78000.0,51500.0,Newto Training,2026-02-19,UK
Continuous Improvement Data Analyst (FTC),"Carleton, Pontefract",43859.24,43859.24,43859.24,KP Snacks,2026-02-16,Carleton
DATA ANALYST,"Solihull, West Midlands",29000.0,29000.0,29000.0,FELIX CONSULTANTS PRIVATE LIMITED,2026-01-28,Solihull
Data Analyst,"Glasgow, Scotland",78000.0,104000.0,91000.0,HAYS,2026-02-13,Glasgow
Environmental Data Analyst Apprentice,"Reading, Berkshire",27089.29,27089.29,27089.29,Thames Water,2026-02-10,Reading
Data Analyst - No experience needed - job guarantee,UK,52187.31,52187.31,52187.31,Newto Training,2026-02-19,UK
Monitoring and Data Analyst,"Belfast, Northern Ireland",33447.5,33447.5,33447.5,Belfast City Council,2026-02-23,Belfast
Data Analyst - Associate Director - Belfast,"Belfast, Northern Ireland",49199.77,49199.77,49199.77,Grant Thornton ,2026-02-15,Belfast
Business Data Analyst,"Inverness, Highland",78000.0,104000.0,91000.0,HAYS,2026-02-17,Inverness
IT Data Analyst,"Swindon, Wiltshire",0.0,38000.0,19000.0,Great Western Railway,2026-02-18,Swindon
Corporate Complaints Data Analyst,"Paddington, West London",52505.76,52505.76,52505.76,ConvaTec,2026-01-18,Paddington
Senior Data Analyst,"The City, Central London",59090.53,59090.53,59090.53,Formula Recruitment,2026-02-16,The City
Senior Data Analyst,"London, UK",58513.38,58513.38,58513.38,Formula Recruitment,2026-02-16,London
Senior Data Analyst,"Gloucestershire, South West England",69656.01,69656.01,69656.01,Hexegic,2026-02-16,Gloucestershire
